Stock,Algo Profit,Buy and Hold Profit,Total Trades,Successful Trades
1_XAUUSD,0.0,0.01644120707596267,0,0
2_XAUUSD,0.013657999999999993,0.030695037309785362,37,23
3_XAUUSD,0.01664400000000005,0.042535943903331104,36,18
4_XAUUSD,0.005692000000000007,0.025158739852167405,20,11
5_XAUUSD,0.01233099999999995,-0.012268402976957655,43,27
6_XAUUSD,-0.012451000000000021,-0.014127596292961718,47,20
7_XAUUSD,-0.006634000000000015,-0.002716979774094811,36,17
8_XAUUSD,-0.010095999999999912,-0.014815536531753251,36,13
