Stock,Algo Profit,Buy and Hold Profit,Total Trades,Successful Trades
1_EURUSD,0.00858099999999995,0.0027044298932120975,54,31
2_EURUSD,-0.00093700000000008,-0.0048964647349427,29,12
3_EURUSD,-0.00355,-0.005917575992051195,36,21
4_EURUSD,0.006493000000000029,0.004790333535909656,39,26
5_EURUSD,0.0008760000000000218,0.0010684228502368912,41,25
6_EURUSD,0.002868000000000029,0.0023764341301207555,45,27
7_EURUSD,0.001275,-0.0055115573117166805,31,13
8_EURUSD,0.007059000000000015,0.009113241256098406,47,26
9_EURUSD,0.0034670000000000074,0.010045077392951919,29,21
